2015-04-01 to 2015-04-07
Stat: Browser

Date,4/1,4/2,4/3,4/4,4/5,4/6,4/7
Chrome,32.5,32,30.7,30.6,30.3,31.9,32.5
Mobile Safari,17.7,18,19.6,20.6,21.3,18.8,17.8
Internet Explorer,14.3,14.3,13,11.5,11,13.4,14.3
Firefox,10.9,10.8,10.2,10,9.7,10.7,11
Android Webkit,8.5,8.6,9.2,9.7,9.8,8.7,8.3
Others,16.1,16.3,17.3,17.6,17.9,16.5,16.1
